13:35:6,Log Opened In Setup
Time Stamp,Live Players,IBI[0],HRV[0],meanHRV[0],IBI[1],HRV[1],meanHRV[1],SYNC,targetSync
13:36:1,0,0,0,0,0,0,0,0,600
13:38:24,Log Opened In Setup
Time Stamp,Live Players,IBI[0],HRV[0],meanHRV[0],IBI[1],HRV[1],meanHRV[1],SYNC,targetSync
